secocc	ves_m	ves_f
11	51.67	42.58
12	51.67	42.58
13	51.67	42.58
14	51.67	42.58
19	51.67	42.58
20	51.67	42.58
21	51.67	42.58
22	51.67	42.58
23	51.67	42.58
24	51.67	42.58
25	51.67	42.58
26	51.67	42.58
27	51.67	42.58
28	51.67	42.58
29	51.67	42.58
30	55.83	55.29
31	51.67	55.29
32	51.67	55.29
33	51.67	55.29
34	51.67	55.29
35	51.67	55.29
36	51.67	55.29
37	51.67	55.29
38	51.67	55.29
39	59.52	55.29
41	51.67	42.58
42	51.67	42.58
43	51.67	42.58
51	51.67	42.58
52	51.67	42.58
54	51.67	42.58
59	51.67	42.58
61	54.63	45.97
62	54.63	42.58
63	54.63	45.97
64	54.63	42.58
65	54.63	45.97
66	54.63	43.2
67	54.63	45.97
68	54.63	42.58
69	54.63	42.58
70	54.63	45.97
71	54.63	43.84
72	54.63	42.58
73	54.63	43.84
75	54.63	45.97
76	54.63	42.58
77	54.63	45.97
79	54.63	45.97
82	55.43	57.47
83	55.43	57.47
85	55.43	57.47
89	55.43	57.47
90	51.67	42.58
92	51.67	42.58
110	50.06	49.93
121	55.89	54.71
122	55.89	54.71
129	55.89	54.71
131	49.5	43.78
132	58.98	56.43
133	53.19	49.93
134	53.19	49.93
135	58.98	49.93
138	49.5	43.78
139	58.98	51.69
141	50.06	49.93
149	50.06	49.93
151	50.06	49.93
158	50.06	49.93
159	50.06	49.93
161	48.26	49.93
162	48.26	49.93
163	48.26	49.93
171	54.13	49.93
172	54.13	49.93
173	54.13	49.93
174	54.13	49.93
175	54.13	49.93
179	54.13	49.93
180	52.77	49.93
190	50.06	55.25
191	50.06	49.66
192	50.06	55.25
193	50.06	49.94
194	50.06	52.31
195	51.16	55.25
196	50.06	52.31
197	50.06	55.25
198	46.35	55.25
199	54.65	55.25
201	46.35	64.64
202	46.35	64.64
203	46.35	64.64
204	46.35	64.64
208	63.63	64.64
209	63.63	64.64
210	56.63	62.43
211	56.63	62.43
212	56.63	62.43
213	56.63	62.43
214	56.63	62.43
215	56.63	62.43
216	56.63	62.43
217	56.63	62.43
218	56.63	62.43
219	56.63	62.43
220	55.14	64.64
230	62.08	64.64
240	63.63	64.64
250	63.63	62.64
260	52.58	55.59
290	63.63	64.64
299	48.14	64.64
300	54.5	60.03
309	45.48	49.11
310	57.73	50.33
319	50.36	50.33
321	45.02	50.33
322	45.02	50.33
331	49.66	47.79
339	50.56	53.01
341	48.49	55.25
342	48.49	55.25
351	51.61	50.33
352	51.61	50.33
359	51.61	50.33
360	51.61	50.33
370	40.77	42.54
380	51.61	53.16
391	42.35	46.96
392	51.61	52.11
393	51.61	52.11
394	51.61	47.25
395	47.08	49.24
399	50.36	46.97
401	63.41	60.72
402	57.23	60.72
409	57.23	60.72
410	49.54	45.35
421	53.69	60.65
422	53.69	60.65
431	59.08	43.96
432	59.08	43.96
439	59.08	43.96
441	63.37	63.98
442	63.37	63.98
443	63.37	63.98
451	46.16	43.96
452	34.64	40.96
490	47.63	43.96
510	44.16	43.96
520	33.7	26.31
531	37.59	26.63
532	37.09	33.17
540	37.04	26.31
551	33.13	33.54
552	36.69	32.57
560	36.54	31.68
570	42.74	44.88
581	48.71	45.35
582	40.74	45.35
583	33.7	45.35
589	33.7	40.6
591	46.67	40.54
592	46.67	40.54
593	46.67	40.54
594	46.67	40.54
595	46.67	40.54
596	46.67	40.54
597	46.67	40.54
598	46.67	40.54
599	30.52	35.66
601	36.68	32.93
602	36.68	32.93
611	36.68	32.93
612	36.68	32.93
613	36.68	32.93
614	36.68	32.93
621	23.18	25.54
622	22.47	25.54
623	24.63	25.54
624	16.82	25.54
625	13.5	25.54
626	23.18	25.54
627	21.62	25.54
628	17.97	25.54
629	18.03	25.54
631	40.53	32.93
632	40.53	32.93
641	33.15	32.93
642	33.15	32.93
649	33.15	32.93
700	49.67	46.16
711	30.35	38.06
712	30.35	38.06
713	30.35	38.06
714	30.35	38.06
716	30.35	38.06
721	40.78	38.06
722	40.78	38.06
723	40.78	38.06
724	40.78	38.06
725	40.78	38.06
726	40.78	38.06
728	40.78	38.06
729	40.78	38.06
731	49.67	38.06
732	49.67	38.06
733	49.67	38.06
734	49.67	38.06
741	48	37.83
742	48	37.83
743	48	37.83
745	48	37.83
749	48	37.83
751	37.9	37.84
752	37.9	37.84
753	37.9	37.84
754	37.9	37.84
755	37.9	37.84
756	37.9	37.84
759	37.9	37.84
761	37.9	38.06
762	37.9	38.06
771	33.86	37.94
772	33.86	37.94
