vn_occ	vno_m	vno_f
0	53.48	43.36
10	53.48	43.36
20	45.95	43.36
30	53.48	43.36
100	99	85.76
111	99	81.99
112	99	81.99
113	61.24	81.99
114	61.24	81.99
115	61.24	81.99
121	99	81.99
122	99	81.99
131	99	81.99
132	99	81.99
133	99	81.99
140	75.78	97.3
141	75.78	97.3
142	75.78	97.3
143	75.78	97.3
150	75.78	84.49
151	75.78	72.03
152	75.78	92.48
160	61.47	78.77
161	61.47	71.1
162	61.47	97.24
171	61.47	76.65
172	61.47	76.65
181	99	97.92
182	99	94.17
183	99	99
184	99	88.49
210	99	99
211	99	99
212	99	99
213	99	99
214	99	99
215	99	99
216	99	99
220	99	99
221	99	99
222	72.1	95.32
223	85.06	90.03
224	99	99
225	86.21	96.16
226	99	99
230	83.07	99
231	99	99
232	99	99
233	83.07	99
234	69.73	88.9
235	99	99
240	99	99
241	99	99
242	99	99
243	99	99
244	99	99
250	99	99
251	99	99
252	99	99
260	99	99
261	99	99
262	99	99
263	99	99
264	99	99
265	99	99
310	78.42	84.91
311	78.42	94.09
312	79.81	84.04
313	79.19	82.61
314	59.7	73.86
315	90.8	90.76
320	62.14	78.89
321	73.59	83.39
322	62.14	78.89
323	58.29	80.07
324	45.81	63.95
325	77.67	84.97
330	71.24	93.31
331	74.54	93.31
332	93.24	99
333	85.36	98.58
334	71.24	93.97
335	70.84	94.1
340	50.32	75.97
341	50.32	75.97
342	81.53	96.33
343	66.3	83.37
350	95.49	99
351	98.07	99
352	95.49	99
360	55.93	78.38
361	55.93	78.38
362	61.1	68.08
363	55.93	87.61
364	84.04	81.61
400	64.22	83.27
410	64.22	86.21
411	64.22	87.51
412	67.89	86.21
413	71.4	86.21
420	66.56	86.6
421	66.56	86.6
422	77.03	87.98
430	62.41	83.28
431	58.27	83.28
432	66.64	74.07
440	45.13	76.37
510	58.13	57.95
511	64.93	70.38
512	53.61	57.95
513	57.19	56.75
514	44.89	58.96
515	58.13	65.75
516	55.99	69.9
520	45.7	52.35
521	45.7	52.35
522	62.82	60.54
523	59.86	86.56
524	53.32	61.27
530	46.59	60.08
531	45.39	56.63
532	46.59	64.04
540	49.49	63.36
600	45.51	44.5
610	53.44	44.5
611	53.44	44.5
612	53.84	43.16
613	53.44	44.5
620	37.65	44.5
621	33.71	44.5
622	37.65	44.5
630	46.21	43.36
631	46.21	43.36
632	46.21	43.36
633	46.21	43.36
634	30.6	48.74
710	26.88	55.95
711	31.28	55.95
712	52.18	61.21
713	40.97	44.02
720	49.38	60.39
721	46.34	60.39
722	42.83	56.9
723	49.38	61.95
730	39.36	45.51
731	39.36	45.51
732	66.99	67.34
740	57.62	61.21
741	57.62	63.66
742	58.76	58
750	34.98	53.13
751	40.08	47.56
752	34.98	49.52
753	51.78	53.13
754	40.12	48.28
800	52.68	56.07
810	55.35	49.68
811	42.79	62.78
812	50.7	56.4
813	61.14	65.76
814	47.55	52.29
815	55.35	49.68
816	37.15	53.31
817	39.62	46.09
818	48.72	57.49
820	54.53	53.57
830	52.68	51.86
831	62.13	63.45
832	52.68	55.59
833	53.04	65.77
834	46.71	64.06
835	43.86	51.86
900	46.21	43.36
910	51.37	51.49
911	49.32	51.49
912	53.07	52.02
920	46.21	43.36
930	33.44	33.71
931	33.44	33.71
932	38.54	46.13
933	37.02	49.49
940	51.96	53.76
951	41.33	46.52
952	36.8	46.53
960	46.92	50.47
961	42.01	50.47
962	46.92	54.18
